1652,2021-03-12T23:03:36.529Z,2021-03-12T23:03:36.529Z,,Improper Neutralization of Special Elements used in a Command,madge,['CVE-2021-23352'],<4.0.1,>=4.0.1,"In `madge` before version 4.0.1 it is possible to specify a custom Graphviz path via the graphVizPath option parameter which when the .image(), .svg() or .dot() functions are called, is executed by the childprocess.exec function.",Upgrade to version 4.0.1 or later,"- [GitHub Advisory](https://github.com/advisories/GHSA-753c-phhg-cj29)
- [CVE](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-23352)",public,high,CWE-77,,Anonymous,,,Anonymous,,"Mar 12th, 2021"
1651,2021-03-12T22:58:56.714Z,2021-03-12T22:59:36.198Z,,Prototype Poisoning,msgpack5,['CVE-2021-21368'],<3.6.1||>=4.0.0 <4.5.1||>=5.0.0 <5.2.1,>=5.2.1||>=4.5.1 < 5.0.0||>=3.6.1 <4.0.0,"### Impact

When `msgpack5` decodes a map containing a  key `""__proto__""`, it assigns the decoded value to `__proto__`. As you  are no doubt aware, `Object.prototype.__proto__` is an accessor  property for the receiver's prototype. If the value corresponding to the key `__proto__` decodes to an object or `null`, `msgpack5` sets  the decoded object's prototype to that value. 

An attacker who can submit crafted MessagePack data to a service can use this to produce values that appear to be of other types; may have unexpected prototype properties and methods (for example `length`, numeric properties, and `push` et al if `__proto__`'s value decodes to an `Array`); and/or may throw unexpected exceptions when used (for example if the `__proto__` value decodes to a `Map` or `Date`). Other unexpected behavior might be produced for other types. 

There is no effect on the global prototype.

An example: 

```js 
const msgpack5 = require('msgpack5')(); 

const payload = {}; 
Object.defineProperty(payload, '__proto__', { 
value: new Map().set(1, 2), 
enumerable: true 
}); 

const encoded = msgpack5.encode(payload); 
console.log(encoded); // <Buffer 81 a9 5f 5f 70 72 6f 74 6f 5f 5f 81 01 02> 

const decoded = msgpack5.decode(encoded); 

// decoded's prototype has been overwritten 
console.log(Object.getPrototypeOf(decoded)); // Map(1) { 1 => 2 } 
console.log(decoded.get); // [Function: get] 

// decoded appears to most common typechecks to be a Map 
console.log(decoded instanceof Map); // true 
console.log(decoded.toString()); // [object Map] 
console.log(Object.prototype.toString.call(decoded)); // [object Map] 
console.log(decoded.constructor.name); // Map 
console.log(Object.getPrototypeOf(decoded).constructor.name); // Map 

// decoded is not, however, a Map 
console.log(Object.getPrototypeOf(decoded) === Map.prototype); // false 

// using decoded as though it were a Map throws 
try { 
decoded.get(1); 
} catch (error) { 
console.log(error); // TypeError: Method Map.prototype.get called 
// on incompatible receiver #<Map> 
} 
try { 
decoded.size; 
} catch (error) { 
console.log(error); // TypeError: Method get Map.prototype.size 
// called on incompatible receiver #<Map> 
} 

// re-encoding the decoded value throws 
try { 
msgpack5.encode(decoded); 
} catch (error) { 
console.log(error); // TypeError: Method Map.prototype.entries 
// called on incompatible receiver #<Map> 
} 
``` 

This ""prototype poisoning"" is sort of a very limited inversion of a 
prototype pollution attack. Only the decoded value's prototype is 
affected, and it can only be set to `msgpack5` values (though if the 
victim makes use of custom codecs, anything could be a `msgpack5` 
value). We have not found a way to escalate this to true prototype 
pollution (absent other bugs in the consumer's code). 

### Workarounds

Always validate incoming data after parsing before doing any processing.","Upgrade to version 5.2.1, v4.5.1,  3.6.1  or later
","- [GitHub Security Advisory](https://github.com/advisories/GHSA-gmjw-49p4-pcfm)
- [CVE](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-21368)",public,moderate,CWE-915,,Anonymous,,,Anonymous,,"Mar 12th, 2021"
1649,2021-03-09T17:35:28.122Z,2021-03-09T17:35:28.122Z,,Prototype Pollution,mquery,['CVE-2020-35149'],<3.2.3,>=3.2.3,"In `mquery` before version 3.2.3 there is a prototype pollution vulnerability because a special property (e.g., __proto__) can be copied during a merge or clone operation.",Upgrade to version 3.2.3 or later,"- [CVE](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-35149)
- [GitHub Advisory](https://github.com/advisories/GHSA-45q2-34rf-mr94)",public,moderate,CWE-1321,,Anonymous,,,Anonymous,,"Mar 9th, 2021"
1648,2021-03-08T16:08:52.414Z,2021-03-08T16:08:52.414Z,,Use of a Broken or Risky Cryptographic Algorithm,elliptic,['CVE-2020-28498'],<6.5.4,>=6.5.4,`elliptic` before version 6.5.4 is vulnerable to Cryptographic Issues via the secp256k1 implementation in `elliptic/ec/key.js`. There is no check to confirm that the public key point passed into the derive function actually exists on the secp256k1 curve. This results in the potential for the private key used in this implementation to be revealed after a number of ECDH operations are performed.,Upgrade to version 6.5.4 or later,"- [Snyk Advisory](https://snyk.io/vuln/SNYK-JS-ELLIPTIC-1064899)
- [GitHub Advisory](https://github.com/advisories/GHSA-r9p9-mrjm-926w)
- [CVE](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-28498)",public,moderate,CWE-327,,Anonymous,,,Anonymous,,"Mar 8th, 2021"
1647,2021-03-08T15:57:38.007Z,2021-03-08T15:57:38.007Z,,Improper Authentication,botframework-connector,['CVE-2021-1725'],>=4.7.0 < 4.7.3||=4.8.0||>=4.9.0 <4.9.4||>=4.10.0 <4.10.3,>=4.7.3 <4.8.0||>=4.8.1 <4.9.0||>=4.9.4 <4.10.0||>=4.10.3,"In affected versions of `botframework-connector`, a maliciously crafted claim may be incorrectly authenticated by the bot. Impacts bots that are not configured to be used as a Skill. This vulnerability requires an attacker to have internal knowledge of the bot.","Upgrade to fix version 4.7.3, 4.8.1, 4.9.4, 4.10.3, or later.","- [GitHub Advisory](https://github.com/advisories/GHSA-fvcj-hvfw-7f2v)
- [CVE](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-1725)",public,moderate,CWE-287,,Anonymous,,,Anonymous,,"Mar 8th, 2021"
1646,2021-03-03T02:27:35.857Z,2021-03-03T02:27:35.857Z,,Sandbox Breakout,matrix-react-sdk,['CVE-2021-21320'],<3.15.0,>=3.15.0,"In `matrix-react-sdk` before version 3.15.0 the user content sandbox can be abused to trick users into opening unexpected documents. The content is opened with a `blob` origin that cannot access Matrix user data, so messages and secrets are not at risk.",Upgrade to version 3.15.0 or later.,"- [GitHub Advisory](https://github.com/advisories/GHSA-52mq-6jcv-j79x)
- [CVE](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-21320)",public,low,CWE-345,,Anonymous,,,Anonymous,,"Mar 3rd, 2021"
1645,2021-03-03T02:22:40.366Z,2021-03-03T02:22:40.366Z,,Prefix escape,fastify-http-proxy,['CVE-2021-21322'],<4.3.1,>=4.3.1,"In `fastify-http-proxy` before version 4.3.1, by crafting a specific URL, it is possible to escape the prefix of the proxied backend service.
If the base url of the proxied server is /pub/, a user expect that accessing /priv on the target service would not be possible. Unfortunately, it is.",Upgrade to version 4.3.1 or later.,"- [GitHub Advisory](https://github.com/advisories/GHSA-c4qr-gmr9-v23w)
- [CVE](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-21322)",public,info,CWE-20,,Anonymous,,,Anonymous,,"Mar 3rd, 2021"
1644,2021-03-03T02:16:22.974Z,2021-03-03T02:17:24.599Z,,Remote Code Execution,pug-code-gen,['CVE-2021-21353'],<2.0.3||>=3.0.0 <3.0.2,>=2.0.3 <3.0.0||>=3.0.2,"### Impact

In affected versions of `pug` and `pug-code-gen`, if a remote attacker was able to control the `pretty` option of the pug compiler, e.g. if you spread a user provided object such as the query parameters of a request into the pug template inputs, it was possible for them to achieve remote code execution on the node.js backend.

### Patches

Upgrade to `pug@3.0.1` or `pug-code-gen@3.0.2` or `pug-code-gen@2.0.3`, which correctly sanitise the parameter.

### Workarounds

If there is no way for un-trusted input to be passed to pug as the `pretty` option, e.g. if you compile templates in advance before applying user input to them, you do not need to upgrade.",Upgrade `pug-code-gen` to version 2.0.3 or 3.0.2.,"- [GitHub Advisory](https://github.com/advisories/GHSA-p493-635q-r6gr)
- [CVE](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-21353)
- [Similar advisory for `pug`](https://www.npmjs.com/advisories/1643)",public,high,CWE-74,,Anonymous,,,Anonymous,,"Mar 3rd, 2021"
1643,2021-03-03T02:09:54.865Z,2021-03-03T02:17:05.831Z,,Remote Code Execution,pug,['CVE-2021-21353'],<3.0.1,>=3.0.1,"### Impact

In affected versions of `pug` and `pug-code-gen`, if a remote attacker was able to control the `pretty` option of the pug compiler, e.g. if you spread a user provided object such as the query parameters of a request into the pug template inputs, it was possible for them to achieve remote code execution on the node.js backend.

### Patches

Upgrade to `pug@3.0.1` or `pug-code-gen@3.0.2` or `pug-code-gen@2.0.3`, which correctly sanitise the parameter.

### Workarounds

If there is no way for un-trusted input to be passed to pug as the `pretty` option, e.g. if you compile templates in advance before applying user input to them, you do not need to upgrade.",Upgrade `pug` to version 3.0.1,"- [GitHub Advisory](https://github.com/advisories/GHSA-p493-635q-r6gr)
- [CVE](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-21353)
- [Similar advisory for `pug-code-gen`](https://www.npmjs.com/advisories/1644)",public,high,CWE-74,,Anonymous,,,Anonymous,,"Mar 3rd, 2021"
1642,2021-03-03T01:55:12.970Z,2021-03-03T01:55:12.970Z,,Prefix escape,fastify-reply-from,['CVE-2021-21321'],<4.0.2,>=4.0.2,"In `fastify-reply-from` before version 4.0.2, by crafting a specific URL, it is possible to escape the prefix of the proxied backend service.
If the base url of the proxied server is /pub/, a user expect that accessing /priv on the target service would not be possible. Unfortunately, it is.",Upgrade to version 4.0.2,"- [GitHub Advisory](https://github.com/advisories/GHSA-qmw8-3v4g-gwj4)
- [CVE](https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-21321)",public,critical,CWE-20,,Anonymous,,,Anonymous,,"Mar 3rd, 2021"
